,Name,Domain,SCOPE,Type,Rss,NTags
0,A Stylish Moment,http://astylishmoment.com/,AU,"CBR,LIFE",http://astylishmoment.com/feed/,ASM
1,ABC News Canberra,https://www.abc.net.au/news/canberra/,AU,"CBR,NEWS",https://www.abc.net.au/news/feed/8057234/rss.xml,ABCNC
2,ACAT Judgements,https://www.acat.act.gov.au/,AU,"CBR,LAW",https://www.acat.act.gov.au/general/rss-feeds/judgments-rss,ACATJ
3,ACT Apple Users Group,https://actapple.org.au/blog/?page_id=669,AU,"CBR,TECH",https://actapple.org.au/blog/?feed=rss2,ACTAUG
4,ACT Deafness Resource Centre,https://www.actdrc.org.au/,AU,"CBR,HEALTH",https://www.actdrc.org.au/feed/,ACTDRC
5,ACT Emergency Services Agency,http://esa.act.gov.au/,AU,"CBR,GOV",http://esa.act.gov.au/feed,ACTESA
6,ACT Government Media Releases,https://www.cmtedd.act.gov.au/open_government/inform/act_government_media_releases/latest_directorate_media_releases,AU,"CBR,GOV",https://www.cmtedd.act.gov.au/open_government/functions/functionality/media_release_rss_feeds/latest_directorate_media_releases_rss,ACTGMR
7,ACT Legislative Assembly Calendar,https://www.parliament.act.gov.au/in-the-assembly/sitting-calendar,AU,"CBR,PARL",https://www.parliament.act.gov.au/functions/rss/calendar,ACTLAC
8,ACT Legislative Assembly Daily Program,https://www.parliament.act.gov.au/in-the-assembly/daily_program,AU,"CBR,PARL",https://www.parliament.act.gov.au/functionality/rss/daily-program,ACTLADP
9,ACT Legislative Assembly Matters of Public Importance ,https://www.parliament.act.gov.au/in-the-assembly/matters_of_public_importance,AU,"CBR,PARL",https://www.parliament.act.gov.au/functionality/rss/matters_of_public_importance,ACTLAMPI
10,ACT Legislative Assembly Minutes of Proceedings,https://www.parliament.act.gov.au/in-the-assembly/minutes_of_proceedings,AU,"CBR,PARL",https://www.parliament.act.gov.au/functionality/rss/minutes-of-proceedings,ACTLAMP
11,ACT Legislative Assembly Notice Papers,https://www.parliament.act.gov.au/in-the-assembly/notice_papers,AU,"CBR,PARL",https://www.parliament.act.gov.au/functionality/rss/notice-papers,ACTLANP
12,ACT Magistrates Court Judgements,https://www.courts.act.gov.au/magistrates,AU,"CBR,LAW",https://www.courts.act.gov.au/magistrates/rss/judgments-rss,ACTMCJ
13,ACT Magistrates Court Publications,https://www.courts.act.gov.au/magistrates,AU,"CBR,LAW",https://www.courts.act.gov.au/magistrates/rss/publications-rss,ACTMCP
14,ACT Minister Media Releases,https://www.cmtedd.act.gov.au/open_government/inform/act_government_media_releases/latest_minister_media_releases,AU,"CBR,GOV",https://www.cmtedd.act.gov.au/open_government/functions/functionality/media_release_rss_feeds/latest_minister_media_releases_rss,ACTMMR
15,ACT Policing Blog,https://policenews.act.gov.au/act-policing-blog,AU,"CBR,GOV",https://policenews.act.gov.au/feed/blog,ACTPB
16,ACT Policing Community News,https://policenews.act.gov.au/news/community-news,AU,"CBR,GOV",https://policenews.act.gov.au/feed/community-news,ACTPCN
17,ACT Policing Media Releases,https://policenews.act.gov.au/news/media-releases,AU,"CBR,GOV",https://policenews.act.gov.au/feed/media-releases,ACTPMR
18,ACT Shelter,http://www.actshelter.net.au/,AU,CBR,http://www.actshelter.net.au/?format=feed&type=rss,ACTS
19,ACT Supreme Court Judgements,https://www.courts.act.gov.au/supreme,AU,"CBR,LAW",https://www.courts.act.gov.au/supreme/rss/judgments-rss,ACTSCJ
20,ACT Supreme Court Publications,https://www.courts.act.gov.au/supreme,AU,"CBR,LAW",https://www.courts.act.gov.au/supreme/rss/publications-rss,ACTSCP
21,ANU CHELT,http://chelt.anu.edu.au/,AU,"CBR,EDU",http://chelt.anu.edu.au/rss.xml,ANU_CHELT
22,ANU Centre for Aboriginal Economic Policy Research,http://caepr.cass.anu.edu.au/,AU,"CBR,EDU",http://caepr.cass.anu.edu.au/rss.xml,ANU_CAEPR
23,ANU College of Arts and Social Sciences,https://cass.anu.edu.au/,AU,"CBR,EDU",https://cass.anu.edu.au/rss.xml,ANU_CASS
24,ANU College of Asia and the Pacific,http://asiapacific.anu.edu.au,AU,"CBR,EDU",http://asiapacific.anu.edu.au/rss.xml,ANU_CAP
25,ANU College of Engineering and Computer Science,https://cecs.anu.edu.au/,AU,"CBR,EDU",https://cecs.anu.edu.au/rss.xml,ANU_CECS
26,ANU Computer Science Student Association,http://cs.club.anu.edu.au/,AU,"CBR,EDU",http://cs.club.anu.edu.au/?q=rss.xml,ANU_CSSA
27,ANU Energy Change Institute,https://energy.anu.edu.au/,AU,"CBR,EDU",https://energy.anu.edu.au/rss.xml,ANU_ECI
28,ANU Law Student's Society,http://www.anulss.com/,AU,"CBR,EDU",http://www.anulss.com/feed/,ANU_LSS
29,ANU Mathematical Sciences Institute,https://maths.anu.edu.au/,AU,"CBR,EDU",https://maths.anu.edu.au/rss.xml,ANU_MSI
30,ANU Medical School,https://medicalschool.anu.edu.au/,AU,"CBR,EDU",https://medicalschool.anu.edu.au/rss.xml,ANU_MS
31,ANU Medical Student's Society,https://anumss.org/,AU,"CBR,EDU",https://anumss.org/feed/,ANU_MSS
32,ANU Observer,https://anuobserver.org/,AU,"CBR,EDU",https://anuobserver.org/feed/,ANU_O
33,ANU Press,https://press.anu.edu.au/,AU,"CBR,EDU",https://press.anu.edu.au/rss.xml,ANU_P
